City,Neighbourhood,Latitude,Longitude
Paris,75001,48.862630,2.336293
Paris,75002,48.867903,2.344107
Paris,75003,48.863054,2.359361
Paris,75004,48.854229,2.357362
Paris,75005,48.844509,2.349859
Paris,75006,48.848968,2.332671
Paris,75007,48.856082,2.312439
Paris,75008,48.872527,2.312582
Paris,75009,48.876896,2.337460
Paris,75010,48.876028,2.361113
Paris,75011,48.859415,2.378741
Paris,75012,48.835156,2.419807
Paris,75013,48.828718,2.362468
Paris,75014,48.828993,2.327101
Paris,75015,48.840155,2.293559
Paris,75016,48.860399,2.262099
Paris,75017,48.887337,2.307485
Paris,75018,48.892735,2.348712
Paris,75019,48.886869,2.384694
Paris,75020,48.863187,2.400820
Tokyo,Adachi ku ,35.778747,139.794310
Tokyo,Arakawa ku ,35.739431,139.780989
Tokyo,Bunkyo ku ,35.719448,139.749970
Tokyo,Chiyoda ku ,35.686235,139.752422
Tokyo,Chuo ku ,35.668812,139.775361
Tokyo,Edogawa ku ,35.691630,139.871041
Tokyo,Itabashi ku ,35.766433,139.688236
Tokyo,Katsuka ku ,35.689596,139.770394
Tokyo,Kita ku ,35.771887,139.722536
Tokyo,Koto ku ,35.666635,139.820958
Tokyo,Meguro ku ,35.635810,139.695680
Tokyo,Minato ku ,35.653426,139.740577
Tokyo,Nakano ku ,35.707411,139.671169
Tokyo,Nerima ku ,35.748827,139.606809
Tokyo,Ota ku ,35.566779,139.720983
Tokyo,Setagaya ku ,35.638448,139.634219
Tokyo,Shibuya ku ,35.670289,139.696816
Tokyo,Shinagawa ku ,35.600778,139.741543
Tokyo,Shinjuku ku ,35.696972,139.717829
Tokyo,Suginami ku ,35.696673,139.621965
Tokyo,Sumida ku ,35.721170,139.822100
Tokyo,Taito ku ,35.712522,139.785385
Tokyo,Toshima ku,35.731310,139.714231
New York,10453,40.852820,-73.912310
New York,10458,40.862529,-73.888159
New York,10451,40.820454,-73.925066
New York,10454,40.805492,-73.916604
New York,10463,40.880678,-73.906540
New York,10466,40.890964,-73.846239
New York,10461,40.847396,-73.840578
New York,11212,40.662932,-73.913019
New York,11209,40.622012,-74.030141
New York,11204,40.618779,-73.984826
New York,11234,40.606436,-73.909725
New York,11223,40.597143,-73.973426
New York,11201,40.693700,-73.989859
New York,11203,40.649590,-73.934374
New York,11207,40.670755,-73.894209
New York,11211,40.712597,-73.953098
New York,11220,40.641087,-74.016552
New York,11206,40.701954,-73.942358
New York,10026,40.802380,-73.952681
New York,10001,40.750634,-73.997176
New York,10029,40.791763,-73.943970
New York,10010,40.739104,-73.982455
New York,10012,40.725581,-73.998078
New York,10004,40.688873,-74.018213
New York,10002,40.715777,-73.986207
New York,10021,40.769224,-73.958741
New York,10023,40.775916,-73.982602
New York,10031,40.825288,-73.950045
New York,11361,40.764191,-73.772775
New York,11354,40.768213,-73.827392
New York,11365,40.739634,-73.794490
New York,11412,40.698095,-73.758987
New York,11101,40.747560,-73.938942
New York,11374,40.726467,-73.861515
New York,11691,40.601261,-73.761646
New York,11004,40.746208,-73.711485
New York,11414,40.657604,-73.844804
New York,11368,40.749737,-73.853045
New York,10302,40.630716,-74.137729
New York,10306,40.571768,-74.125950
New York,10301,40.627505,-74.094377
New York,10314,40.599263,-74.165748
